bridge_id,peer_id,peer_class,bridge_cpp,peer_cpp
A5100382497,A5100604034,A-only,103.76470588235294,12.92
A5100382497,A5070471372,C-only,103.76470588235294,22.47826086956522
A5100382497,A5046383476,C-only,103.76470588235294,9.38
A5100382497,A5084978430,C-only,103.76470588235294,2.347826086956522
A5055075741,A5068985187,A-only,36.4,5.3
A5055075741,A5004244154,A-only,36.4,55.32
A5055075741,A5062345597,A-only,36.4,54.916666666666664
A5055075741,A5091275346,C-only,36.4,10.91304347826087
A5055075741,A5063950256,C-only,36.4,126.0
A5055075741,A5110182601,C-only,36.4,31.12
A5030363784,A5058584635,A-only,106.09782608695652,96.77464788732394
A5030363784,A5081359849,A-only,106.09782608695652,20.575
A5030363784,A5046641442,A-only,106.09782608695652,22.89887640449438
A5030363784,A5089475390,C-only,106.09782608695652,39.125
A5030363784,A5069878362,C-only,106.09782608695652,57.583333333333336
A5030363784,A5055820164,C-only,106.09782608695652,43.26315789473684
A5025379313,A5101819440,A-only,78.6086956521739,40.4375
A5025379313,A5065998053,A-only,78.6086956521739,126.0
A5025379313,A5041977173,A-only,78.6086956521739,126.0
A5025379313,A5056890108,C-only,78.6086956521739,17.176470588235293
A5025379313,A5108538681,C-only,78.6086956521739,25.9375
A5025379313,A5011986000,C-only,78.6086956521739,7.352941176470588
A5014834476,A5103275458,A-only,49.51219512195122,26.096774193548388
A5014834476,A5016909512,A-only,49.51219512195122,4.730769230769231
A5014834476,A5100692857,A-only,49.51219512195122,59.08
A5014834476,A5109238179,C-only,49.51219512195122,21.272727272727273
A5014834476,A5100425644,C-only,49.51219512195122,39.55813953488372
A5014834476,A5100319967,C-only,49.51219512195122,22.282608695652176
A5103159490,A5101804817,A-only,22.28125,47.644444444444446
A5103159490,A5100442916,A-only,22.28125,25.346938775510203
A5103159490,A5100400322,A-only,22.28125,23.444444444444443
A5103159490,A5100539580,C-only,22.28125,7.4576271186440675
A5103159490,A5101917704,C-only,22.28125,20.254901960784313
A5103159490,A5033727249,C-only,22.28125,57.645833333333336
A5054732344,A5080268663,A-only,37.07692307692308,36.67307692307692
A5054732344,A5060855879,A-only,37.07692307692308,39.0
A5054732344,A5004132075,A-only,37.07692307692308,51.15625
A5054732344,A5007413759,C-only,37.07692307692308,11.95
A5054732344,A5101997548,C-only,37.07692307692308,15.743589743589743
A5054732344,A5080345671,C-only,37.07692307692308,20.741935483870968
A5072137981,A5046206213,A-only,29.620689655172413,55.2
A5072137981,A5026658839,A-only,29.620689655172413,49.94117647058823
A5072137981,A5013392746,A-only,29.620689655172413,12.181818181818182
A5072137981,A5001010817,C-only,29.620689655172413,28.105263157894736
A5072137981,A5028682420,C-only,29.620689655172413,12.526315789473685
A5072137981,A5069990651,C-only,29.620689655172413,16.09090909090909
A5111389342,A5061477306,A-only,2.984732824427481,83.7159090909091
A5111389342,A5013489448,A-only,2.984732824427481,77.72
A5111389342,A5075787427,A-only,2.984732824427481,37.98913043478261
A5111389342,A5084526109,C-only,2.984732824427481,39.133720930232556
A5111389342,A5077286929,C-only,2.984732824427481,39.25
A5111389342,A5112646051,C-only,2.984732824427481,4.573529411764706
A5023140770,A5084472017,A-only,36.575,74.77083333333333
A5023140770,A5109892683,A-only,36.575,41.714285714285715
A5023140770,A5038449475,A-only,36.575,12.931818181818182
A5023140770,A5033624986,C-only,36.575,26.404761904761905
A5023140770,A5109601118,C-only,36.575,17.227272727272727
A5023140770,A5049658978,C-only,36.575,88.0
A5100434610,A5048968332,A-only,27.316666666666666,60.97222222222222
A5100434610,A5035341015,A-only,27.316666666666666,114.50877192982456
A5100434610,A5079015192,A-only,27.316666666666666,126.0
A5100434610,A5035793657,C-only,27.316666666666666,2.3333333333333335
A5100434610,A5017245472,C-only,27.316666666666666,7.670329670329671
A5100434610,A5089666920,C-only,27.316666666666666,31.959183673469386
A5026050642,A5103059974,A-only,16.114754098360656,36.8235294117647
A5026050642,A5009425615,A-only,16.114754098360656,51.416666666666664
A5026050642,A5070419159,A-only,16.114754098360656,77.20588235294117
A5026050642,A5100362260,C-only,16.114754098360656,40.15151515151515
A5026050642,A5079547259,C-only,16.114754098360656,22.714285714285715
A5026050642,A5101829887,C-only,16.114754098360656,22.21951219512195
A5110150733,A5052974886,A-only,1.7619047619047619,126.0
A5110150733,A5050407496,A-only,1.7619047619047619,16.63953488372093
A5110150733,A5100441268,A-only,1.7619047619047619,126.0
A5110150733,A5070287124,C-only,1.7619047619047619,15.065573770491802
A5110150733,A5029104914,C-only,1.7619047619047619,8.936507936507937
A5110150733,A5056972574,C-only,1.7619047619047619,50.50847457627118
A5102953259,A5006124276,A-only,33.6,14.4
A5102953259,A5103205047,A-only,33.6,126.0
A5102953259,A5066518130,A-only,33.6,126.0
A5102953259,A5064145037,C-only,33.6,3.4545454545454546
A5102953259,A5102308159,C-only,33.6,6.111111111111111
A5102953259,A5100671684,C-only,33.6,23.454545454545453
A5062221591,A5049492169,A-only,5.454545454545454,101.85714285714286
